line	status	file	sheet	row	col	cell	old_current	new_current	old_suggested	new_suggested
14	exact_suggested_already	src/xlsx/data.xlsx	PM	35	3	大岩蛇@@@@	大巖蛇@@@@	大巖蛇@@@@	大岩蛇@@@@	大岩蛇@@@@
15	exact_suggested_already	src/xlsx/data.xlsx	PM	50	3	隆隆岩@@@@	隆隆巖@@@@	隆隆巖@@@@	隆隆岩@@@@	隆隆岩@@@@
16	rebased_synthetic_at_suggested_already	src/xlsx/data.xlsx	Townnames	40	3	岩山隧道	巖山隧道@	巖山隧道	岩山隧道@	岩山隧道
17	exact_suggested_already	src/xlsx/dexEntry.xlsx	工作表 1	96	14	岩蛇	巖蛇	巖蛇	岩蛇	岩蛇
18	exact_suggested_already	src/xlsx/indoor.xlsx	CeladonMartRoof	60	7	“岩崩”哦！	“巖崩”哦！	“巖崩”哦！	“岩崩”哦！	“岩崩”哦！
19	exact_suggested_already	src/xlsx/outdoor.xlsx	VermilionCity	146	7	從岩山隧道繞行！	從巖山隧道繞行！	從巖山隧道繞行！	從岩山隧道繞行！	從岩山隧道繞行！
20	exact_suggested_already	src/xlsx/routes.xlsx	DiglettsCaveRoute2	3	7	雖然要去岩山隧道，但是	雖然要去巖山隧道，但是	雖然要去巖山隧道，但是	雖然要去岩山隧道，但是	雖然要去岩山隧道，但是
21	exact_suggested_already	src/xlsx/routes.xlsx	RockTunnel1F	13	7	偶爾出現的大岩蛇	偶爾出現的大巖蛇	偶爾出現的大巖蛇	偶爾出現的大岩蛇	偶爾出現的大岩蛇
22	exact_suggested_already	src/xlsx/routes.xlsx	RockTunnel1F	113	7	這裡是岩山隧道	這裡是巖山隧道	這裡是巖山隧道	這裡是岩山隧道	這裡是岩山隧道
23	exact_suggested_already	src/xlsx/routes.xlsx	Route10	105	7	這裡是岩山隧道	這裡是巖山隧道	這裡是巖山隧道	這裡是岩山隧道	這裡是岩山隧道
24	exact_suggested_already	src/xlsx/routes.xlsx	Route11Gate2F	36	7	借道岩山比較好……	借道巖山比較好……	借道巖山比較好……	借道岩山比較好……	借道岩山比較好……
25	exact_suggested_already	src/xlsx/routes.xlsx	Route9	37	7	岩山隧道去紫苑鎮……	巖山隧道去紫苑鎮……	巖山隧道去紫苑鎮……	岩山隧道去紫苑鎮……	岩山隧道去紫苑鎮……
26	exact_suggested_already	src/xlsx/routes.xlsx	Route9	48	7	你也想去岩山隧道嗎？	你也想去巖山隧道嗎？	你也想去巖山隧道嗎？	你也想去岩山隧道嗎？	你也想去岩山隧道嗎？
27	exact_suggested_already	src/xlsx/routes.xlsx	Route9_2	20	7	華藍市　……　岩山隧道	華藍市　……　巖山隧道	華藍市　……　巖山隧道	華藍市　……　岩山隧道	華藍市　……　岩山隧道
28	exact_current	src/xlsx/core.xlsx	text_2	410	7	“死死光線”這個招式嗎？	“死死光線”這個招式嗎？	“死死光線”這個招式嗎？	「破壞光線」這個招式嗎？	「破壞光線」這個招式嗎？
29	exact_suggested_already	src/xlsx/buildingsA.xlsx	SSAnneB1FRooms	73	7	就把你推到海裡！	就把你推到海里！	就把你推到海里！	就把你推到海裡！	就把你推到海裡！
30	exact_suggested_already	src/xlsx/buildingsA.xlsx	SSAnneB1FRooms	90	7	是來自山上還是海裡，	是來自山上還是海里，	是來自山上還是海里，	是來自山上還是海裡，	是來自山上還是海裡，
31	exact_suggested_already	src/xlsx/buildingsA.xlsx	SSAnneB1FRooms	92	7	可全都來自海裡！	可全都來自海里！	可全都來自海里！	可全都來自海裡！	可全都來自海裡！
32	exact_suggested_already	src/xlsx/buildingsB.xlsx	ChampionsRoom	137	7	不單單只有你個人的努力！	不單單隻有你個人的努力！	不單單隻有你個人的努力！	不單單只有你個人的努力！	不單單只有你個人的努力！
33	exact_suggested_already	src/xlsx/buildingsB.xlsx	LancesRoom	10	7	但是只要努力培養，	但是隻要努力培養，	但是隻要努力培養，	但是只要努力培養，	但是只要努力培養，
34	exact_suggested_already	src/xlsx/core.xlsx	text_2	541	7	６隻寶可夢。	６只寶可夢。	６只寶可夢。	６隻寶可夢。	６隻寶可夢。
35	exact_suggested_already	src/xlsx/core.xlsx	text_2	935	7	下一隻寶可夢嗎？	下只寶可夢嗎？	下只寶可夢嗎？	下一隻寶可夢嗎？	下一隻寶可夢嗎？
36	exact_suggested_already	src/xlsx/core.xlsx	text_3	307	7	寄放最後１隻的話，	寄放最後１只的話，	寄放最後１只的話，	寄放最後１隻的話，	寄放最後１隻的話，
37	exact_suggested_already	src/xlsx/core.xlsx	text_3	542	7	不滿３隻！	不滿３只！	不滿３只！	不滿３隻！	不滿３隻！
38	exact_suggested_already	src/xlsx/data.xlsx	Main	14	3	3隻寶可夢等級：50-55	3只寶可夢等級：50-55	3只寶可夢等級：50-55	3隻寶可夢等級：50-55	3隻寶可夢等級：50-55
39	exact_suggested_already	src/xlsx/data.xlsx	Main	17	3	3隻寶可夢等級：15-20	3只寶可夢等級：15-20	3只寶可夢等級：15-20	3隻寶可夢等級：15-20	3隻寶可夢等級：15-20
40	exact_suggested_already	src/xlsx/data.xlsx	Main	19	3	3隻寶可夢等級：25-30	3只寶可夢等級：25-30	3只寶可夢等級：25-30	3隻寶可夢等級：25-30	3隻寶可夢等級：25-30
41	exact_suggested_already	src/xlsx/dex.xlsx	dex_text	184	7	只要看到１隻小拉達出沒，	只要看到１只小拉達出沒，	只要看到１只小拉達出沒，	只要看到１隻小拉達出沒，	只要看到１隻小拉達出沒，
42	exact_suggested_already	src/xlsx/dex.xlsx	dex_text	185	7	附近必還住著４０隻以上。	附近必還住著４０只以上。	附近必還住著４０只以上。	附近必還住著４０隻以上。	附近必還住著４０隻以上。
43	exact_suggested_already	src/xlsx/dex.xlsx	dex_text	323	7	頭上的犄角裡含有毒素，	頭上的犄角里含有毒素，	頭上的犄角里含有毒素，	頭上的犄角裡含有毒素，	頭上的犄角裡含有毒素，
44	exact_suggested_already	src/xlsx/dex.xlsx	dex_text	663	7	只要解開繫在腰上的限制它	只要解開系在腰上的限制它	只要解開系在腰上的限制它	只要解開繫在腰上的限制它	只要解開繫在腰上的限制它
45	exact_suggested_already	src/xlsx/dex.xlsx	dex_text	733	7	大多棲息於山路。由於	大多棲息于山路。由於	大多棲息于山路。由於	大多棲息於山路。由於	大多棲息於山路。由於
46	exact_suggested_already	src/xlsx/dex.xlsx	dex_text	1374	7	在古代的大海裡飄蕩。	在古代的大海里飄蕩。	在古代的大海里飄蕩。	在古代的大海裡飄蕩。	在古代的大海裡飄蕩。
47	exact_suggested_already	src/xlsx/indoor.xlsx	CeladonChiefHouse	11	7	採購的２０００隻寶可夢	採購的２０００只寶可夢	採購的２０００只寶可夢	採購的２０００隻寶可夢	採購的２０００隻寶可夢
48	exact_suggested_already	src/xlsx/indoor.xlsx	FuchsiaPokecenter	3	7	只集中培育１隻寶可夢	只集中培育１只寶可夢	只集中培育１只寶可夢	只集中培育１隻寶可夢	只集中培育１隻寶可夢
49	exact_suggested_already	src/xlsx/indoor.xlsx	FuchsiaPokecenter	7	7	好幾隻寶可夢，	好幾只寶可夢，	好幾只寶可夢，	好幾隻寶可夢，	好幾隻寶可夢，
50	exact_suggested_already	src/xlsx/indoor.xlsx	Museum2F	28	7	幫我捉一隻回來嘛～	幫我捉一只回來嘛～	幫我捉一只回來嘛～	幫我捉一隻回來嘛～	幫我捉一隻回來嘛～
51	exact_suggested_already	src/xlsx/indoor.xlsx	OaksLab	231	7	１隻寶可夢的……	１只寶可夢的……	１只寶可夢的……	１隻寶可夢的……	１隻寶可夢的……
52	exact_suggested_already	src/xlsx/indoor.xlsx	PokemonFanClub	59	7	已經超過了１００隻！	已經超過了１００只！	已經超過了１００只！	已經超過了１００隻！	已經超過了１００隻！
53	exact_suggested_already	src/xlsx/outdoor.xlsx	CeruleanCity	132	7	一定是火箭隊做的！	一定是火箭隊乾的！	一定是火箭隊乾的！	一定是火箭隊做的！	一定是火箭隊做的！
54	exact_suggested_already	src/xlsx/ratings.xlsx	pokedex_ratings	66	7	在海裡的寶可夢	在海里的寶可夢	在海里的寶可夢	在海裡的寶可夢	在海裡的寶可夢
55	exact_suggested_already	src/xlsx/routes.xlsx	Daycare	81	7	１隻寶可夢哪。	１只寶可夢哪。	１只寶可夢哪。	１隻寶可夢哪。	１隻寶可夢哪。
56	exact_suggested_already	src/xlsx/routes.xlsx	MtMoonPokecenter	7	7	最多只能帶６隻寶可夢！	最多隻能帶６只寶可夢！	最多隻能帶６只寶可夢！	最多只能帶６隻寶可夢！	最多只能帶６隻寶可夢！
57	exact_suggested_already	src/xlsx/routes.xlsx	RockTunnel1F	78	7	隧道裡有寶可夢。	隧道里有寶可夢。	隧道里有寶可夢。	隧道裡有寶可夢。	隧道裡有寶可夢。
58	exact_suggested_already	src/xlsx/routes.xlsx	Route18	31	7	捕捉海裡的寶可夢哦。	捕捉海里的寶可夢哦。	捕捉海里的寶可夢哦。	捕捉海裡的寶可夢哦。	捕捉海裡的寶可夢哦。
59	exact_suggested_already	src/xlsx/routes.xlsx	Route19	44	7	我不會輸給海裡的寶可夢！	我不會輸給海里的寶可夢！	我不會輸給海里的寶可夢！	我不會輸給海裡的寶可夢！	我不會輸給海裡的寶可夢！
60	exact_suggested_already	src/xlsx/routes.xlsx	Route19	72	7	海裡的寶可夢果然	海里的寶可夢果然	海里的寶可夢果然	海裡的寶可夢果然	海裡的寶可夢果然
61	exact_suggested_already	src/xlsx/routes.xlsx	Route21	64	7	是在海裡捉到的。	是在海里捉到的。	是在海里捉到的。	是在海裡捉到的。	是在海裡捉到的。
62	exact_suggested_already	src/xlsx/routes.xlsx	Route3	43	7	２０隻寶可夢。	２０只寶可夢。	２０只寶可夢。	２０隻寶可夢。	２０隻寶可夢。
63	exact_suggested_already	src/xlsx/routes.xlsx	Route9	14	7	前面的隧道裡一片漆黑。	前面的隧道里一片漆黑。	前面的隧道里一片漆黑。	前面的隧道裡一片漆黑。	前面的隧道裡一片漆黑。
64	exact_suggested_already	src/xlsx/routes.xlsx	UndergroundPathRoute6	3	7	聽說地下通道裡面	聽說地下通道里面	聽說地下通道里面	聽說地下通道裡面	聽說地下通道裡面
65	exact_suggested_already	src/xlsx/buildingsA.xlsx	VictoryRoad3F	34	7	才能通過這裡！	才能透過這裡！	才能透過這裡！	才能通過這裡！	才能通過這裡！
66	exact_suggested_already	src/xlsx/dex.xlsx	dex_text	944	7	通過之後形成的洞穴會被	透過之後形成的洞穴會被	透過之後形成的洞穴會被	通過之後形成的洞穴會被	通過之後形成的洞穴會被
67	exact_suggested_already	src/xlsx/routes.xlsx	Route16Gate1F	3	7	步行通過腳踏車道	步行透過腳踏車道	步行透過腳踏車道	步行通過腳踏車道	步行通過腳踏車道
68	exact_suggested_already	src/xlsx/routes.xlsx	Route22	42	7	是不會讓你通過的哦！	是不會讓你透過的哦！	是不會讓你透過的哦！	是不會讓你通過的哦！	是不會讓你通過的哦！
69	exact_suggested_already	src/xlsx/routes.xlsx	Route22	59	7	通過那邊的方法！	透過那邊的方法！	透過那邊的方法！	通過那邊的方法！	通過那邊的方法！
70	exact_suggested_already	src/xlsx/routes.xlsx	Route2Gate	10	7	就能通過岩山隧道了呢。	就能透過巖山隧道了呢。	就能透過巖山隧道了呢。	就能通過岩山隧道了呢。	就能通過岩山隧道了呢。
71	exact_suggested_already	src/xlsx/routes.xlsx	VictoryRoad2F	35	7	剛才也通過這裡了！	剛才也透過這裡了！	剛才也透過這裡了！	剛才也通過這裡了！	剛才也通過這裡了！
72	exact_suggested_already	src/xlsx/routes.xlsx	VictoryRoad2F	55	7	如果能順利通過這裡，	如果能順利透過這裡，	如果能順利透過這裡，	如果能順利通過這裡，	如果能順利通過這裡，
73	exact_suggested_already	src/xlsx/core.xlsx	text_2	276	7	能來打倒火箭隊，	能來把火箭隊幹掉，	能來把火箭隊幹掉，	能來打倒火箭隊，	能來打倒火箭隊，
74	exact_current	src/xlsx/indoor.xlsx	CeladonGym	121	7	岩石屬性也只有捱打的份！	岩石屬性也只有捱打的份！	岩石屬性也只有捱打的份！	岩石屬性也只有挨打的份！	岩石屬性也只有挨打的份！
75	exact_current	src/xlsx/routes.xlsx	Route12Gate1F	4	7	展望臺。	展望臺。	展望臺。	展望台。	展望台。
76	exact_current	src/xlsx/outdoor.xlsx	CeladonCity	13	7	這個道館好的很哇！	這個道館好的很哇！	這個道館好的很哇！	這個道館真不錯哇！	這個道館真不錯哇！
77	exact_current	src/xlsx/outdoor.xlsx	CeladonCity	14	7	道館裡頭美女多哇！	道館裡頭美女多哇！	道館裡頭美女多哇！	道館裡頭有好多美女哇！	道館裡頭有好多美女哇！
78	exact_current	src/xlsx/routes.xlsx	Route6	53	7	幹嗎？	幹嗎？	幹嗎？	幹嘛？	幹嘛？
79	exact_current	src/xlsx/buildingsA.xlsx	SSAnne3F	4	7	居合斬是他的一大絕招！	居合斬是他的一大絕招！	居合斬是他的一大絕招！	居合斬是他的拿手招式！	居合斬是他的拿手招式！
80	exact_suggested_already	src/xlsx/buildingsB.xlsx	RockTunnelB1F	67	7	我要用我寶可夢的招式	我要用我寶可夢的技能	我要用我寶可夢的技能	我要用我寶可夢的招式	我要用我寶可夢的招式
81	exact_current	src/xlsx/buildingsB.xlsx	RockTunnelB1F	74	7	你才是技能大師。	你才是技能大師。	你才是技能大師。	你才是招式大師。	你才是招式大師。
82	exact_current	src/xlsx/indoor.xlsx	FuchsiaGym	68	7	封印著絕招“劇毒”！	封印著絕招“劇毒”！	封印著絕招“劇毒”！	封印著招式「劇毒」！	封印著招式「劇毒」！
83	exact_current	src/xlsx/buildingsA.xlsx	SilphCo5F	44	7	捉住的究極精靈球。	捉住的究極精靈球。	捉住的究極精靈球。	捉住的精靈球之王。	捉住的精靈球之王。
84	exact_current	src/xlsx/dex.xlsx	dex_text	655	7	格鬥技能，實力十分驚人。	格鬥技能，實力十分驚人。	格鬥技能，實力十分驚人。	格鬥技巧，實力十分驚人。	格鬥技巧，實力十分驚人。
85	exact_current	src/xlsx/routes.xlsx	Route22	76	7	啊，是嗎……幹得不錯！	啊，是嗎……幹得不錯！	啊，是嗎……幹得不錯！	啊，是嗎……做得不錯！	啊，是嗎……做得不錯！
86	exact_current	src/xlsx/routes.xlsx	Route24	3	7	幹得漂亮！	幹得漂亮！	幹得漂亮！	做得漂亮！	做得漂亮！
87	exact_current	src/xlsx/buildingsA.xlsx	SSAnne2FRooms	21	7	寶可夢招式“居合斬”	寶可夢招式“居合斬”	寶可夢招式“居合斬”	寶可夢招式「居合斬」	寶可夢招式「居合斬」
88	exact_current	src/xlsx/buildingsB.xlsx	SafariZoneSecretHouse	27	7	是“衝浪”！	是“衝浪”！	是“衝浪”！	是「衝浪」！	是「衝浪」！
89	exact_current	src/xlsx/indoor.xlsx	CeladonGym	56	7	招式“怪力”在戰鬥外	招式“怪力”在戰鬥外	招式“怪力”在戰鬥外	招式「怪力」在戰鬥外	招式「怪力」在戰鬥外
90	exact_current	src/xlsx/indoor.xlsx	CeruleanBadgeHouse	31	7	此外，招式“閃光”	此外，招式“閃光”	此外，招式“閃光”	此外，招式「閃光」	此外，招式「閃光」
91	exact_current	src/xlsx/indoor.xlsx	CeruleanBadgeHouse	42	7	此外，招式“居合斬”	此外，招式“居合斬”	此外，招式“居合斬”	此外，招式「居合斬」	此外，招式「居合斬」
92	exact_current	src/xlsx/indoor.xlsx	CeruleanBadgeHouse	53	7	此外，招式“飛翔”	此外，招式“飛翔”	此外，招式“飛翔”	此外，招式「飛翔」	此外，招式「飛翔」
93	exact_current	src/xlsx/indoor.xlsx	CeruleanBadgeHouse	64	7	此外，招式“怪力”	此外，招式“怪力”	此外，招式“怪力”	此外，招式「怪力」	此外，招式「怪力」
94	exact_current	src/xlsx/indoor.xlsx	CeruleanBadgeHouse_2	6	7	此外，招式“衝浪”	此外，招式“衝浪”	此外，招式“衝浪”	此外，招式「衝浪」	此外，招式「衝浪」
95	exact_current	src/xlsx/indoor.xlsx	CeruleanGym	39	7	使用招式“居合斬”了。	使用招式“居合斬”了。	使用招式“居合斬”了。	使用招式「居合斬」了。	使用招式「居合斬」了。
96	exact_current	src/xlsx/indoor.xlsx	CeruleanGym	40	7	使用“居合斬”，	使用“居合斬”，	使用“居合斬”，	使用「居合斬」，	使用「居合斬」，
97	exact_current	src/xlsx/indoor.xlsx	CeruleanTrashedHouse	8	7	學會“挖洞”這招式的	學會“挖洞”這招式的	學會“挖洞”這招式的	學會「挖洞」這招式的	學會「挖洞」這招式的
98	exact_current	src/xlsx/indoor.xlsx	FuchsiaGym	30	7	“劇毒”可以使對手	“劇毒”可以使對手	“劇毒”可以使對手	「劇毒」可以使對手	「劇毒」可以使對手
99	exact_current	src/xlsx/indoor.xlsx	FuchsiaGym	43	7	招式“衝浪”	招式“衝浪”	招式“衝浪”	招式「衝浪」	招式「衝浪」
100	exact_current	src/xlsx/indoor.xlsx	PewterGym	97	7	學會招式“閃光”的	學會招式“閃光”的	學會招式“閃光”的	學會招式「閃光」的	學會招式「閃光」的
101	exact_current	src/xlsx/indoor.xlsx	VermilionGym	41	7	使用招式“飛翔”了。	使用招式“飛翔”了。	使用招式“飛翔”了。	使用招式「飛翔」了。	使用招式「飛翔」了。
102	exact_current	src/xlsx/indoor.xlsx	WardensHouse	67	7	“衝浪”哦！	“衝浪”哦！	“衝浪”哦！	「衝浪」哦！	「衝浪」哦！
103	exact_current	src/xlsx/outdoor.xlsx	CeladonCity	52	7	是“生蛋”！	是“生蛋”！	是“生蛋”！	是「生蛋」！	是「生蛋」！
104	exact_current	src/xlsx/outdoor.xlsx	SaffronCity	127	7	新商品“超級球”	新商品“超級球”	新商品“超級球”	新商品「超級球」	新商品「超級球」
105	exact_current	src/xlsx/outdoor.xlsx	VermilionCity	14	7	“聖特安努號”的遊輪唷！	“聖特安努號”的遊輪唷！	“聖特安努號”的遊輪唷！	「聖特安努號」的遊輪唷！	「聖特安努號」的遊輪唷！
106	exact_current	src/xlsx/outdoor.xlsx	ViridianCity	130	7	是“食夢”……	是“食夢”……	是“食夢”……	是「食夢」……	是「食夢」……
107	exact_current	src/xlsx/routes.xlsx	Route12Gate2F	19	7	“高速星星”的招式哦。	“高速星星”的招式哦。	“高速星星”的招式哦。	「高速星星」的招式哦。	「高速星星」的招式哦。
108	exact_current	src/xlsx/routes.xlsx	Route2Gate	3	7	使用秘傳招式“閃光”後，	使用秘傳招式“閃光”後，	使用秘傳招式“閃光”後，	使用秘傳招式「閃光」後，	使用秘傳招式「閃光」後，
