priority	category	safe_to_auto_apply	file	sheet	row	col	original	current	suggested	reason
high	官方用語	yes	src/xlsx/routes.xlsx	RockTunnel1F	13	7	偶尔出现的大岩蛇	偶爾出現的大巖蛇	偶爾出現的大岩蛇	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/routes.xlsx	RockTunnel1F	113	7	这里是岩山隧道	這裡是巖山隧道	這裡是岩山隧道	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/routes.xlsx	Route10	105	7	这里是岩山隧道	這裡是巖山隧道	這裡是岩山隧道	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/routes.xlsx	Route11Gate2F	36	7	借道岩山比较好……	借道巖山比較好……	借道岩山比較好……	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/routes.xlsx	Route9	37	7	岩山隧道去紫苑镇……	巖山隧道去紫苑鎮……	岩山隧道去紫苑鎮……	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/routes.xlsx	Route9	48	7	你也想去岩山隧道吗？	你也想去巖山隧道嗎？	你也想去岩山隧道嗎？	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/routes.xlsx	Route9_2	20	7	华蓝市　……　岩山隧道	華藍市　……　巖山隧道	華藍市　……　岩山隧道	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語+標點風格	maybe	src/xlsx/core.xlsx	text_2	410	7	“死死光线”这个招式吗？	“死死光線”這個招式嗎？	「破壞光線」這個招式嗎？	Move 名稱應與資料表中的「破壞光線」一致，「死死光線」明顯不自然。；台灣繁中一般使用「」；可作為全域風格規則處理。
high	簡繁誤轉	yes	src/xlsx/buildingsA.xlsx	SSAnneB1FRooms	73	7	就把你推到海里！	就把你推到海里！	就把你推到海裡！	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/buildingsA.xlsx	SSAnneB1FRooms	90	7	是来自山上还是海里，	是來自山上還是海里，	是來自山上還是海裡，	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/buildingsA.xlsx	SSAnneB1FRooms	92	7	可全都来自海里！	可全都來自海里！	可全都來自海裡！	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/buildingsB.xlsx	ChampionsRoom	137	7	不单单只有你个人的努力！	不單單隻有你個人的努力！	不單單只有你個人的努力！	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/buildingsB.xlsx	LancesRoom	10	7	但是只要努力培养，	但是隻要努力培養，	但是只要努力培養，	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/core.xlsx	text_2	541	7	６只宝可梦。	６只寶可夢。	６隻寶可夢。	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/core.xlsx	text_2	935	7	下只宝可梦吗？	下只寶可夢嗎？	下一隻寶可夢嗎？	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/core.xlsx	text_3	307	7	寄放最后１只的话，	寄放最後１只的話，	寄放最後１隻的話，	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/core.xlsx	text_3	542	7	不满３只！	不滿３只！	不滿３隻！	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/data.xlsx	Main	14	3	3只宝可梦等级：50-55	3只寶可夢等級：50-55	3隻寶可夢等級：50-55	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/data.xlsx	Main	17	3	3只宝可梦等级：15-20	3只寶可夢等級：15-20	3隻寶可夢等級：15-20	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/data.xlsx	Main	19	3	3只宝可梦等级：25-30	3只寶可夢等級：25-30	3隻寶可夢等級：25-30	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/dex.xlsx	dex_text	184	7	只要看到１只小拉达出没，	只要看到１只小拉達出沒，	只要看到１隻小拉達出沒，	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/dex.xlsx	dex_text	185	7	附近必还住着４０只以上。	附近必還住著４０只以上。	附近必還住著４０隻以上。	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/dex.xlsx	dex_text	323	7	头上的犄角里含有毒素，	頭上的犄角里含有毒素，	頭上的犄角裡含有毒素，	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/dex.xlsx	dex_text	663	7	只要解开系在腰上的限制它	只要解開系在腰上的限制它	只要解開繫在腰上的限制它	動詞「繫在腰上」應用「繫」，不是系統的「系」。
high	簡繁誤轉	yes	src/xlsx/dex.xlsx	dex_text	733	7	大多栖息于山路。由于	大多棲息于山路。由於	大多棲息於山路。由於	介詞應為「於」。
high	簡繁誤轉	yes	src/xlsx/dex.xlsx	dex_text	1374	7	在古代的大海里飘荡。	在古代的大海里飄蕩。	在古代的大海裡飄蕩。	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/indoor.xlsx	CeladonChiefHouse	11	7	采购的２０００只宝可梦	採購的２０００只寶可夢	採購的２０００隻寶可夢	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/indoor.xlsx	FuchsiaPokecenter	3	7	只集中培育１只宝可梦	只集中培育１只寶可夢	只集中培育１隻寶可夢	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/indoor.xlsx	FuchsiaPokecenter	7	7	好几只宝可梦，	好幾只寶可夢，	好幾隻寶可夢，	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/indoor.xlsx	Museum2F	28	7	帮我捉一只回来嘛～	幫我捉一只回來嘛～	幫我捉一隻回來嘛～	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/indoor.xlsx	OaksLab	231	7	１只宝可梦的……	１只寶可夢的……	１隻寶可夢的……	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/indoor.xlsx	PokemonFanClub	59	7	已经超过了１００只！	已經超過了１００只！	已經超過了１００隻！	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/outdoor.xlsx	CeruleanCity	132	7	一定是火箭队干的！	一定是火箭隊乾的！	一定是火箭隊做的！	「干的」在此是「做的」，不是乾燥；也比「幹的」更全年齡。
high	簡繁誤轉	yes	src/xlsx/ratings.xlsx	pokedex_ratings	66	7	在海里的宝可梦	在海里的寶可夢	在海裡的寶可夢	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/routes.xlsx	Daycare	81	7	１只宝可梦哪。	１只寶可夢哪。	１隻寶可夢哪。	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/routes.xlsx	MtMoonPokecenter	7	7	最多只能带６只宝可梦！	最多隻能帶６只寶可夢！	最多只能帶６隻寶可夢！	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/routes.xlsx	RockTunnel1F	78	7	隧道里有宝可梦。	隧道里有寶可夢。	隧道裡有寶可夢。	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/routes.xlsx	Route18	31	7	捕捉海里的宝可梦哦。	捕捉海里的寶可夢哦。	捕捉海裡的寶可夢哦。	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/routes.xlsx	Route19	44	7	我不会输给海里的宝可梦！	我不會輸給海里的寶可夢！	我不會輸給海裡的寶可夢！	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/routes.xlsx	Route19	72	7	海里的宝可梦果然	海里的寶可夢果然	海裡的寶可夢果然	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/routes.xlsx	Route21	64	7	是在海里捉到的。	是在海里捉到的。	是在海裡捉到的。	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/routes.xlsx	Route3	43	7	２０只宝可梦。	２０只寶可夢。	２０隻寶可夢。	只/隻語境修正
high	簡繁誤轉	yes	src/xlsx/routes.xlsx	Route9	14	7	前面的隧道里一片漆黑。	前面的隧道里一片漆黑。	前面的隧道裡一片漆黑。	方位詞應為「裡」，但「公里」等單位不可改。
high	簡繁誤轉	yes	src/xlsx/routes.xlsx	UndergroundPathRoute6	3	7	听说地下通道里面	聽說地下通道里面	聽說地下通道裡面	方位詞應為「裡」，但「公里」等單位不可改。
high	詞義修正	yes	src/xlsx/buildingsA.xlsx	VictoryRoad3F	34	7	才能通过这里！	才能透過這裡！	才能通過這裡！	「透過」是藉由手段；表示通行/穿越時應用「通過」。
high	詞義修正	yes	src/xlsx/dex.xlsx	dex_text	944	7	通过之后形成的洞穴会被	透過之後形成的洞穴會被	通過之後形成的洞穴會被	「透過」是藉由手段；表示通行/穿越時應用「通過」。
high	詞義修正	yes	src/xlsx/routes.xlsx	Route16Gate1F	3	7	步行通过自行车道	步行透過腳踏車道	步行通過腳踏車道	「透過」是藉由手段；表示通行/穿越時應用「通過」。
high	詞義修正	yes	src/xlsx/routes.xlsx	Route22	42	7	是不会让你通过的哦！	是不會讓你透過的哦！	是不會讓你通過的哦！	「透過」是藉由手段；表示通行/穿越時應用「通過」。
high	詞義修正	yes	src/xlsx/routes.xlsx	Route22	59	7	通过那边的方法！	透過那邊的方法！	通過那邊的方法！	「透過」是藉由手段；表示通行/穿越時應用「通過」。
high	詞義修正	yes	src/xlsx/routes.xlsx	Route2Gate	10	7	就能通过岩山隧道了呢。	就能透過巖山隧道了呢。	就能通過岩山隧道了呢。	「透過」是藉由手段；表示通行/穿越時應用「通過」。
high	詞義修正	yes	src/xlsx/routes.xlsx	VictoryRoad2F	35	7	刚才也通过这里了！	剛才也透過這裡了！	剛才也通過這裡了！	「透過」是藉由手段；表示通行/穿越時應用「通過」。
high	詞義修正	yes	src/xlsx/routes.xlsx	VictoryRoad2F	55	7	如果能顺利通过这里，	如果能順利透過這裡，	如果能順利通過這裡，	「透過」是藉由手段；表示通行/穿越時應用「通過」。
high	語氣修正	yes	src/xlsx/core.xlsx	text_2	276	7	能来把火箭队干掉，	能來把火箭隊幹掉，	能來打倒火箭隊，	「幹掉」語氣偏粗且有殺掉感，寶可夢文本較適合「打倒」。
medium	台灣用字	yes	src/xlsx/indoor.xlsx	CeladonGym	121	7	岩石属性也只有挨打的份！	岩石屬性也只有捱打的份！	岩石屬性也只有挨打的份！	台灣常用「挨打」；「捱」偏港式/書面。
medium	台灣用字	yes	src/xlsx/routes.xlsx	Route12Gate1F	4	7	展望台。	展望臺。	展望台。	地點名/設施名在遊戲語境用「台」較自然。
medium	台灣語感	yes	src/xlsx/outdoor.xlsx	CeladonCity	13	7	这个道馆好的很哇！	這個道館好的很哇！	這個道館真不錯哇！	「好的很」偏陸式，台灣語感可改「真不錯」。
medium	台灣語感	yes	src/xlsx/outdoor.xlsx	CeladonCity	14	7	道馆里头美女多哇！	道館裡頭美女多哇！	道館裡頭有好多美女哇！	「美女多」偏直譯，補足句型較自然。
medium	台灣語感	yes	src/xlsx/routes.xlsx	Route6	53	7	干吗？	幹嗎？	幹嘛？	台灣口語較常寫「幹嘛」。
medium	官方用語	maybe	src/xlsx/buildingsA.xlsx	SSAnne3F	4	7	居合斩是他的一大绝招！	居合斬是他的一大絕招！	居合斬是他的拿手招式！	保留口語，但把 move 語境統一為「招式」。
medium	官方用語	yes	src/xlsx/buildingsB.xlsx	RockTunnelB1F	67	7	我要用我宝可梦的技能	我要用我寶可夢的技能	我要用我寶可夢的招式	寶可夢 move 建議統一為「招式」。
medium	官方用語	maybe	src/xlsx/buildingsB.xlsx	RockTunnelB1F	74	7	你才是技能大师。	你才是技能大師。	你才是招式大師。	若指寶可夢 move，建議統一用「招式」。
medium	官方用語+標點風格	maybe	src/xlsx/indoor.xlsx	FuchsiaGym	68	7	封印着绝招“剧毒”！	封印著絕招“劇毒”！	封印著招式「劇毒」！	move 語境統一「招式」，且標點可改台灣常用引號。；台灣繁中一般使用「」；可作為全域風格規則處理。
medium	官方用語/語意	no	src/xlsx/buildingsA.xlsx	SilphCo5F	44	7	捉住的究极精灵球。	捉住的究極精靈球。	捉住的精靈球之王。	此處可能在形容大師球；「究極精靈球」容易和後世究極球混淆，需對照上下文。
medium	官方用語/語意	maybe	src/xlsx/dex.xlsx	dex_text	655	7	格斗技能，实力十分惊人。	格鬥技能，實力十分驚人。	格鬥技巧，實力十分驚人。	此處像在描述格鬥能力，不是遊戲招式；「技巧」較自然。
medium	語氣修正	yes	src/xlsx/routes.xlsx	Route22	76	7	啊，是吗……干得不错！	啊，是嗎……幹得不錯！	啊，是嗎……做得不錯！	「幹得」可成立但易帶粗口感，改「做得」較穩。
medium	語氣修正	yes	src/xlsx/routes.xlsx	Route24	3	7	干得漂亮！	幹得漂亮！	做得漂亮！	「做得漂亮」較全年齡、較自然。
low	標點風格	maybe	src/xlsx/buildingsA.xlsx	SSAnne2FRooms	21	7	宝可梦招式“居合斩”	寶可夢招式“居合斬”	寶可夢招式「居合斬」	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/buildingsB.xlsx	SafariZoneSecretHouse	27	7	是“冲浪”！	是“衝浪”！	是「衝浪」！	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	CeladonGym	56	7	招式“怪力”在战斗外	招式“怪力”在戰鬥外	招式「怪力」在戰鬥外	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	CeruleanBadgeHouse	31	7	此外，招式“闪光”	此外，招式“閃光”	此外，招式「閃光」	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	CeruleanBadgeHouse	42	7	此外，招式“居合斩”	此外，招式“居合斬”	此外，招式「居合斬」	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	CeruleanBadgeHouse	53	7	此外，招式“飞翔”	此外，招式“飛翔”	此外，招式「飛翔」	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	CeruleanBadgeHouse	64	7	此外，招式“怪力”	此外，招式“怪力”	此外，招式「怪力」	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	CeruleanBadgeHouse_2	6	7	此外，招式“冲浪”	此外，招式“衝浪”	此外，招式「衝浪」	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	CeruleanGym	39	7	使用招式“居合斩”了。	使用招式“居合斬”了。	使用招式「居合斬」了。	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	CeruleanGym	40	7	使用“居合斩”，	使用“居合斬”，	使用「居合斬」，	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	CeruleanTrashedHouse	8	7	学会“挖洞”这招式的	學會“挖洞”這招式的	學會「挖洞」這招式的	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	FuchsiaGym	30	7	“剧毒”可以使对手	“劇毒”可以使對手	「劇毒」可以使對手	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	FuchsiaGym	43	7	招式“冲浪”	招式“衝浪”	招式「衝浪」	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	PewterGym	97	7	学会招式“闪光”的	學會招式“閃光”的	學會招式「閃光」的	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	VermilionGym	41	7	使用招式“飞翔”了。	使用招式“飛翔”了。	使用招式「飛翔」了。	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/indoor.xlsx	WardensHouse	67	7	“冲浪”哦！	“衝浪”哦！	「衝浪」哦！	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/outdoor.xlsx	CeladonCity	52	7	是“生蛋”！	是“生蛋”！	是「生蛋」！	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/outdoor.xlsx	SaffronCity	127	7	新商品“超级球”	新商品“超級球”	新商品「超級球」	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/outdoor.xlsx	VermilionCity	14	7	“圣特安努号”的游轮唷！	“聖特安努號”的遊輪唷！	「聖特安努號」的遊輪唷！	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/outdoor.xlsx	ViridianCity	130	7	是“食梦”……	是“食夢”……	是「食夢」……	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/routes.xlsx	Route12Gate2F	19	7	“高速星星”的招式哦。	“高速星星”的招式哦。	「高速星星」的招式哦。	台灣繁中一般使用「」；可作為全域風格規則處理。
low	標點風格	maybe	src/xlsx/routes.xlsx	Route2Gate	3	7	使用秘传招式“闪光”后，	使用秘傳招式“閃光”後，	使用秘傳招式「閃光」後，	台灣繁中一般使用「」；可作為全域風格規則處理。
